,address,attributes,business_id,categories,city,hours,is_open,latitude,longitude,name,neighborhood,postal_code,review_count,stars,state
20,"9620 Metro Pkwy W, Ste 153","(None, None, none, {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}, None, None, None, True, None, True, {'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}, None, False, None, None, None, None, None, None, True, {'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'breakfast': False, 'brunch': False}, None, None, False, None, average, None, False, casual, None, False, True, 2, False, False, True, None, True, no)",e-Hw1QkvwM2wN5Wm7p_msw,"American (New), Restaurants, American (Traditional), Breakfast & Brunch, Buffets",Phoenix,"(11:0-21:0, 11:0-20:30, 8:0-21:30, 8:0-20:30, 11:0-20:30, 11:0-20:30, 11:0-20:30)",1,33.5743434,-112.1259291,Old Country Buffet,,85051,76,2.5,AZ
21,"20235 N Cave Creek Rd, Ste 111","(None, None, None, None, None, None, None, None, None, True, {'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2, None, None, None, None, None, None)",N1XwkreWIROD2QKhb9qeHg,"American (New), Food, Restaurants",Phoenix,,0,33.6713524,-112.0300423,Brickyard Sports Bar and Grill,,85024,3,2.0,AZ
22,"7540 W Indian School Rd, Ste A4","(None, None, none, {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}, None, None, None, False, None, True, {'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}, None, False, None, None, None, None, None, None, True, {'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'breakfast': True, 'brunch': True}, None, None, True, None, average, None, True, casual, None, False, True, 1, False, True, True, None, True, free)",MeSrAvgBNWHP2Js2--b6zw,"Restaurants, Food, Ice Cream & Frozen Yogurt, Coffee & Tea, Creperies",Phoenix,"(9:0-20:0, 9:0-20:0, 9:0-20:0, 9:0-20:0, 9:0-20:0, None, 9:0-20:0)",1,33.4955326,-112.2221158,P.A.K Crepes & Coffee,,85033,59,4.5,AZ
23,521 W Mcdowell Rd,"(None, None, none, {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}, False, yes_free, None, True, None, True, {'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}, None, True, None, False, None, None, None, None, True, {'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'breakfast': False, 'brunch': False}, None, None, False, None, average, None, True, casual, True, False, True, 1, False, False, True, None, True, free)",e880MGw6C6PJL-n3EJoY_g,"Steakhouses, Southern, Greek, Sandwiches, Restaurants, Mediterranean",Phoenix,"(10:0-21:0, 10:0-21:0, 10:0-21:0, 10:0-21:0, 10:0-21:0, 10:0-21:0, 10:0-21:0)",1,33.465499,-112.081565,Zoes Kitchen,,85003,174,3.5,AZ
24,"4212 W Cactus Rd, Ste 1107","(None, None, none, None, None, None, None, True, None, True, None, None, True, None, None, None, None, False, None, True, {'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'breakfast': False, 'brunch': False}, None, None, False, None, loud, None, False, dressy, None, True, True, 1, False, None, True, None, False, None)",PUBa8BIIgkfhgE1aucXl3w,"Restaurants, Delis, Fast Food, Sandwiches",Phoenix,,0,33.5981698,-112.1507483,Quiznos,,85029,5,2.5,AZ
25,7829 N 35th Ave,"(None, None, full_bar, {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': True, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}, None, None, {'monday': False, 'tuesday': False, 'friday': True, 'wednesday': False, 'thursday': False, 'sunday': True, 'saturday': True}, True, None, True, {'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}, None, None, False, None, None, None, None, False, False, {'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'breakfast': False, 'brunch': False}, None, True, True, {'dj': False, 'background_music': False, 'no_music': False, 'karaoke': False, 'live': False, 'video': False, 'jukebox': True}, loud, None, True, casual, None, False, True, 1, False, None, True, outdoor, True, no)",x_bhc4U_e6lv7Dat2WV04w,"Bars, Nightlife, Sports Bars, Beer Bar, Chicken Wings, Pubs, Restaurants",Phoenix,"(10:0-2:0, 10:0-2:0, 10:0-2:0, 10:0-2:0, 10:0-2:0, 10:0-2:0, 10:0-2:0)",1,33.5523141,-112.1339396,O'Briens Sports Pub,,85051,56,3.5,AZ
26,7611 W Thomas Rd,"(None, None, none, None, None, None, None, True, None, True, {'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}, None, None, None, None, None, None, None, None, True, {'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'breakfast': False, 'brunch': False}, None, None, False, None, None, None, None, casual, None, False, True, 1, None, None, True, None, None, None)",2p346MdyPISpZ2k-h0GSqg,"Chinese, Restaurants",Phoenix,,1,33.4765,-112.224647,Flaming Wok,,85033,9,3.5,AZ
27,7307 W Indian School Rd,"(None, None, beer_and_wine, {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': True, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}, None, None, None, False, None, True, {'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}, None, True, None, None, None, None, None, None, True, {'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'breakfast': False, 'brunch': False}, None, None, True, None, average, None, False, casual, None, False, True, 1, False, True, True, None, None, no)",8IblwilNlenDVwBbEzQEVg,"Chinese, Restaurants",Phoenix,"(11:0-22:30, 11:0-21:30, 11:0-22:30, 12:0-21:30, 11:0-21:30, 11:0-21:30, 11:0-21:30)",1,33.4942311,-112.2166761,Canton Dragon,,85033,58,4.0,AZ
28,13035 N  Cave Creek Rd,"(None, None, beer_and_wine, {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}, None, None, None, False, None, True, {'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}, None, True, None, None, None, False, None, None, True, {'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'breakfast': False, 'brunch': False}, None, None, True, None, quiet, None, False, casual, None, False, True, 1, False, True, True, None, True, free)",CR-gLUcudD0AQr7dzASgLA,"Restaurants, Gluten-Free, Thai",Phoenix,"(10:30-22:0, 10:30-21:0, 12:0-22:0, 12:0-20:0, 10:30-21:0, None, 10:30-21:0)",0,33.6059251,-112.0363947,Two Sisters' Thai Food,,85022,82,4.0,AZ
29,4284 W Thomas Rd,"(None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, False, None, None, None, None, None, None, None, None, None, None, False, False, None, False, None, False, None, None, no)",ZArHo8slPY1RidxBWOEm5Q,"Pizza, Chicken Wings, Restaurants, Sandwiches",Phoenix,"(10:0-2:0, 10:0-0:0, 10:0-2:0, 10:0-0:0, 10:0-0:0, 10:0-0:0, 10:0-0:0)",1,33.4808986,-112.1507276,Domino's Pizza,,85019,8,2.5,AZ
30,"3961 E Chandler Blvd, Ste 100","(None, None, none, {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}, None, None, None, True, False, True, {'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}, None, True, None, None, None, None, None, None, True, {'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'breakfast': False, 'brunch': False}, None, None, False, None, average, None, True, casual, None, False, True, 1, False, False, True, None, True, no)",CbpQD3NxSEoN4v7VDXYHAA,"Salad, Asian Fusion, Restaurants, American (Traditional), Food, Sandwiches",Phoenix,"(10:0-21:0, 10:0-21:0, 10:30-20:30, 11:0-20:30, 10:0-21:0, 10:0-21:0, 10:0-21:0)",0,33.3037326,-111.9987787,GreenMix,,85048,22,3.5,AZ
31,16816 N Cave Creek Rd,"(None, None, none, None, None, None, None, None, None, True, {'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}, None, None, None, None, None, None, None, None, True, None, None, None, True, None, average, None, False, casual, None, False, True, 1, False, True, True, None, None, None)",RWIavDLPCkzyP_ZpkeGtcA,"Mexican, Restaurants",Phoenix,,0,33.6390491811,-112.031112563,Machetes & Mexican Food,,85032,3,3.5,AZ
32,2605 N 7th St,"(None, None, full_bar, None, None, yes_corkage, None, None, None, True, {'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}, None, None, None, None, None, None, None, None, False, {'dessert': False, 'latenight': False, 'lunch': False, 'dinner': True, 'breakfast': False, 'brunch': False}, None, None, None, None, None, None, False, casual, None, None, True, 2, None, True, None, None, True, None)",Wx0ll2UHZl7NBAOFeL4m0A,"Italian, Restaurants",Phoenix,,0,33.4769999,-112.0648251,Cafe La Bella,,85006,5,3.0,AZ
33,3000 E Sky Harbor Blvd,"(None, None, none, {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}, None, None, None, False, None, True, {'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}, None, False, None, None, None, None, None, None, True, {'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'breakfast': True, 'brunch': False}, None, None, False, None, average, None, False, casual, None, False, False, 1, False, False, True, None, None, no)",ycAmQ9kRi5iB9OyJONacBQ,"Restaurants, Sandwiches, Bakeries, Food, Cafes, Coffee & Tea",Phoenix,,1,33.4356927835,-112.01379542,Paradise Bakery & Cafe,,85034,41,1.5,AZ
34,2605 W Carefree Hwy,"(None, None, full_bar, {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}, None, None, {'monday': False, 'tuesday': False, 'friday': True, 'wednesday': False, 'thursday': False, 'sunday': False, 'saturday': False}, True, None, True, {'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}, None, True, False, None, None, True, False, False, False, {'dessert': False, 'latenight': False, 'lunch': False, 'dinner': True, 'breakfast': False, 'brunch': False}, None, True, True, {'dj': True, 'background_music': False, 'no_music': False, 'karaoke': False, 'live': False, 'video': False, 'jukebox': False}, average, None, True, casual, None, False, True, 2, True, True, True, outdoor, True, free)",zU63bs3Ofe8y1peOgOFJaA,"Nightlife, Sports Bars, Bars, Fish & Chips, Restaurants, Karaoke, Burgers, American (Traditional), Irish, Breakfast & Brunch",Phoenix,"(11:0-2:0, 11:0-2:0, 9:0-2:0, 9:0-2:0, 11:0-2:0, 11:0-2:0, 11:0-2:0)",1,33.797831,-112.115855,Connolly's Sports Grill,,85085,102,3.5,AZ
35,737 E Glendale Ave,"(None, None, none, {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}, None, None, None, False, None, True, {'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}, None, True, None, None, None, None, None, None, True, {'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'breakfast': False, 'brunch': False}, None, None, False, None, quiet, None, True, casual, None, True, False, 4, True, True, True, None, True, free)",5PlbORAcmUAJ0QCMJRSmDw,"Kosher, Restaurants, Food, Grocery",Phoenix,"(8:30-15:30, 8:30-19:0, None, 9:0-19:0, 8:30-19:0, 8:30-19:0, 8:30-19:0)",1,33.5379914,-112.0635709,Imperial Kosher Market,,85020,26,4.0,AZ
36,4601 E Bell Rd,"(None, None, full_bar, {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}, None, None, {'monday': False, 'tuesday': False, 'friday': True, 'wednesday': True, 'thursday': True, 'sunday': False, 'saturday': False}, None, None, True, {'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}, None, None, False, None, None, None, None, False, None, None, None, True, True, {'dj': False, 'background_music': True, 'no_music': False, 'karaoke': False, 'live': False, 'video': False, 'jukebox': False}, average, None, True, None, None, None, True, 1, None, None, None, outdoor, None, None)",gE07l6v5mp5TPM4awcm5Xg,"Restaurants, Nightlife, Bars, American (Traditional), Sports Bars",Phoenix,,0,33.6400604,-111.9823835,Big Guy's Sports Grill,,85032,50,4.0,AZ
